STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       3289;1973032514;    1;   17.7;  29.0;eor
       3289;1973032521;    1;   10.4;  60.0;eor
       3289;1973032607;    1;    5.4;  92.0;eor
       3289;1973032614;    1;   10.1;  68.0;eor
       3289;1973032621;    1;    5.2;  89.0;eor
       3289;1973032707;    1;    4.1;  95.0;eor
       3289;1973032714;    1;   13.4;  62.0;eor
       3289;1973032721;    1;    7.5;  81.0;eor
       3289;1973032807;    1;    2.2;  97.0;eor
       3289;1973032814;    1;   12.4;  48.0;eor
       3289;1973032821;    1;    6.4;  68.0;eor
       3289;1973032907;    1;    4.2;  91.0;eor
       3289;1973032914;    1;    7.2;  74.0;eor
       3289;1973032921;    1;    3.4;  85.0;eor
       3289;1973033007;    1;    1.5;  98.0;eor
       3289;1973033014;    1;    8.1;  76.0;eor
       3289;1973033021;    1;    1.9;  98.0;eor
       3289;1973033107;    1;    3.4;  98.0;eor
       3289;1973033114;    1;    7.5;  61.0;eor
       3289;1973033121;    1;   -1.3;  86.0;eor
